## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 9600, Max: 256, Reward: 846.0, Eps: 0.010
Ep: 9700, Max: 256, Reward: 1068.0, Eps: 0.010
Ep: 9800, Max: 128, Reward: -2057.0, Eps: 0.010
Ep: 9900, Max: 128, Reward: 439.0, Eps: 0.010
Ep: 10000, Max: 256, Reward: 584.0, Eps: 0.010
Ep: 10100, Max: 128, Reward: 616.0, Eps: 0.010
Ep: 10200, Max: 256, Reward: 611.0, Eps: 0.010
Ep: 10300, Max: 256, Reward: 804.0, Eps: 0.010
Ep: 10400, Max: 64, Reward: 410.0, Eps: 0.010
Ep: 10500, Max: 128, Reward: 331.0, Eps: 0.010
Ep: 10600, Max: 256, Reward: -3545.0, Eps: 0.010
Ep: 10700, Max: 128, Reward: 479.0, Eps: 0.010
Ep: 10800, Max: 256, Reward: 1016.0, Eps: 0.010
Ep: 10900, Max: 256, Reward: 823.0, Eps: 0.010
Ep: 11000, Max: 128, Reward: 587.0, Eps: 0.010
Ep: 11100, Max: 256, Reward: 807.0, Eps: 0.010
Ep: 11200, Max: 256, Reward: -2135.0, Eps: 0.010
Ep: 11300, Max: 128, Reward: -411.0, Eps: 0.010
Ep: 11400, Max: 128, Reward: 368.0, Eps: 0.010
Ep: 11500, Max: 512, Reward: 1407.0, Eps: 0.010
Ep: 11600, Max: 256, Reward: 972.0, Eps: 0.010
Ep: 11700, Max: 128, Reward: 474.0, Eps: 0.010
Ep: 11800, Max: 256, Reward: 852.0, Eps: 0.010
Ep: 11900, Max: 256, Reward: 697.0, Eps: 0.010
Ep: 12000, Max: 256, Reward: 915.0, Eps: 0.010
Ep: 12100, Max: 128, Reward: 489.0, Eps: 0.010
Ep: 12200, Max: 256, Reward: 1004.0, Eps: 0.010
Ep: 12300, Max: 256, Reward: 711.0, Eps: 0.010
Ep: 12400, Max: 256, Reward: 769.0, Eps: 0.010
Ep: 12500, Max: 64, Reward: -219.0, Eps: 0.010
Ep: 12600, Max: 256, Reward: 794.0, Eps: 0.010
Ep: 12700, Max: 128, Reward: 438.0, Eps: 0.010
Ep: 12800, Max: 256, Reward: 936.0, Eps: 0.010
Ep: 12900, Max: 512, Reward: 1186.0, Eps: 0.010
Ep: 13000, Max: 512, Reward: 726.0, Eps: 0.010
Ep: 13100, Max: 128, Reward: 507.0, Eps: 0.010
Ep: 13200, Max: 128, Reward: 279.0, Eps: 0.010
Ep: 13300, Max: 256, Reward: 762.0, Eps: 0.010
Ep: 13400, Max: 64, Reward: 193.0, Eps: 0.010
Ep: 13500, Max: 256, Reward: 771.0, Eps: 0.010
Ep: 13600, Max: 128, Reward: 279.0, Eps: 0.010
Ep: 13700, Max: 256, Reward: -462.0, Eps: 0.010
Ep: 13800, Max: 256, Reward: 953.0, Eps: 0.010
Ep: 13900, Max: 256, Reward: 1012.0, Eps: 0.010
Ep: 14000, Max: 128, Reward: 483.0, Eps: 0.010
Ep: 14100, Max: 128, Reward: 451.0, Eps: 0.010
Ep: 14200, Max: 256, Reward: -1180.0, Eps: 0.010
Ep: 14300, Max: 512, Reward: 1225.0, Eps: 0.010
Ep: 14400, Max: 256, Reward: 744.0, Eps: 0.010
Ep: 14500, Max: 512, Reward: -27.0, Eps: 0.010
Ep: 14600, Max: 128, Reward: 422.0, Eps: 0.010
Ep: 14700, Max: 128, Reward: 450.0, Eps: 0.010
